r Qm L_r M_r T P rho kap eps clim rcf dlPdlT
-7168775043.8392029 4.2186150323616953 -8.9641505665975689e+51 -6.4018252993674128e+33 312251231.52944255 1.9123355185880708e+20 3859.0270351044874 0.3511151129377677 5.9743155228449267e+17 " " c 2.18627587551754
-7155015398.8414288 4.2014047009207358 -8.9436208707911435e+51 -6.3675939501313436e+33 312580673.50729018 1.9167493479747332e+20 3862.7971293047085 0.35111196132914757 6.0203867271639232e+17 " " c 2.1856759564839909
-7141255753.8436546 4.1842437302455462 -8.9229924468788922e+51 -6.3334607794583921e+33 312909614.65748632 1.9211607644245551e+20 3866.5560930992769 0.35110882541689592 6.066664990201161e+17 " " c 2.185076239764959
-7127496108.8458805 4.1671321710898592 -8.902265558836871e+51 -6.2994258882977312e+33 313238053.76808357 1.9255697258965759e+20 3870.3039246595968 0.35110570511421435 6.1131499878428442e+17 " " c 2.1844767299767405
-7113736463.8481064 4.150070073273973 -8.8814404781249222e+51 -6.2654893757419335e+33 313565989.62951243 1.9299761903906334e+20 3874.040622345578 0.35110260033490759 6.1598413851486221e+17 " " c 2.1838774317436656
-7099976818.8503323 4.1330574856860078 -8.8605174836896767e+51 -6.2316513390294697e+33 313893421.03457534 1.9343801159479155e+20 3877.7661847050249 0.35109951099337861 6.2067388363391104e+17 " " c 2.1832783496960899
-7086217173.8525581 4.1160944562831769 -8.8394968619667267e+51 -6.1979118735472406e+33 314220346.77844083 1.9387814606515061e+20 3881.4806104730192 0.35109643700462423 6.2538419847842419e+17 " " c 2.1826794884711274
-7072457528.854784 4.0991810320930853 -8.818378906881965e+51 -6.1642710728331467e+33 314546765.65863734 1.9431801826269253e+20 3885.1838985712975 0.35109337828423043 6.3011504629921408e+17 " " c 2.1820808527140896
-7058697883.8570099 4.0823172592150314 -8.7971639198521048e+51 -6.1307290285786986e+33 314872676.47504687 1.9475762400426646e+20 3888.8760481076315 0.35109033474836782 6.3486638925989197e+17 " " c 2.1814824470767888
-7044938238.8592358 4.0655031828213488 -8.775852209784361e+51 -6.0972858306316642e+33 315198078.02989852 1.951969591110715e+20 3892.5570583751887 0.35108730631378743 6.396381884359127e+17 " " c 2.1808842762169607
-7031178593.8614616 4.0487388471587487 -8.7544440930753014e+51 -6.0639415669987511e+33 315522969.12776196 1.9563601940870896e+20 3896.2269288518983 0.3510842928978159 6.444304038136905e+17 " " c 2.1802863448001637
-7017418948.8636875 4.0320242955496877 -8.7329398936088624e+51 -6.0306963238483281e+33 315847348.5755406 1.9607480072723412e+20 3899.885659199806 0.3510812944183514 6.4924299428977357e+17 " " c 2.1796886574992755
-7003659303.8659134 4.0153595703937555 -8.7113399427535335e+51 -5.9975501855131801e+33 316171215.18246448 1.9651329890120729e+20 3903.5332492644293 0.35107831079385904 6.540759176701152e+17 " " c 2.1790912189924012
-6989899658.8681393 3.9987447131690819 -8.6896445793587035e+51 -5.9645032344933044e+33 316494567.76008344 1.9695150976974429e+20 3907.1696990740952 0.3510753419433667 6.5892913066939238e+17 " " c 2.1784940339661012
